--------------------
BDMEP - INMET
--------------------
Esta?o           : TERESINA - PI (OMM: 82578)
Latitude  (graus) : -5.08
Longitude (graus) : -42.81
Altitude  (metros): 74.36
Esta?o Operante
Inicio de opera?o: 21/03/1911
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82578;31/01/2000;0000;183.2;31.970968;22.580645;79.354839;
82578;29/02/2000;0000;306.8;31.47931;22.182759;84.094828;
82578;31/03/2000;0000;329.8;31.483871;22.674194;86.072581;
82578;30/04/2000;0000;298.4;31.363333;22.336667;86.375;
82578;31/05/2000;0000;61.9;32.019355;22.429032;82.354839;
82578;30/06/2000;0000;6.7;31.78;21.816667;79.7;
82578;31/07/2000;0000;43.7;32.670968;22.003226;;
82578;31/08/2000;0000;75.8;33.635484;21.174194;;
82578;30/09/2000;0000;41.5;34.743333;22.11;;
82578;31/10/2000;0000;;36.412903;22.787097;;
82578;30/11/2000;0000;;35.41;23.02;;
82578;31/12/2000;0000;;34.170968;23.448387;;
82578;31/01/2001;0000;;31.354839;22.383871;;
82578;28/02/2001;0000;;30.878571;22.414286;;
82578;31/03/2001;0000;;31.093548;22.719355;;
82578;30/04/2001;0000;312.5;30.863333;22.846667;;
82578;31/05/2001;0000;;32.080645;23.087097;;
82578;30/06/2001;0000;;31.773333;22.51;;
82578;31/07/2001;0000;;32.658065;21.777419;;
82578;31/08/2001;0000;;34.93871;20.212903;;
82578;30/09/2001;0000;3.6;36.213333;23.083333;;
82578;31/10/2001;0000;2.2;37.145161;23.854839;52.524194;
82578;30/11/2001;0000;0;35.913333;24.326667;59.683333;
82578;31/12/2001;0000;32;34.587097;24.235484;66.794643;
82578;31/01/2002;0000;303.8;31.387097;23.251613;85.456897;
82578;28/02/2002;0000;82.8;32.646429;23.492857;79.923077;
82578;31/03/2002;0000;237.7;31.8;23.103226;85.717742;
82578;30/04/2002;0000;109;31.66;23.55;85.198276;
82578;31/05/2002;0000;18.6;32.36129;23.1;79.274194;
82578;30/06/2002;0000;21.4;32.876667;22.646667;74.583333;
82578;31/07/2002;0000;7.6;34.409677;22.5;66.330645;
82578;31/08/2002;0000;4;35.845161;21.641935;57.766667;
82578;30/09/2002;0000;47.1;36.246667;22.983333;53.85;
82578;31/10/2002;0000;3.8;37.777419;23.870968;47.612903;
82578;30/11/2002;0000;20.6;37.34;24.443333;51.791667;
82578;31/12/2002;0000;126.3;35.125806;24.070968;71.467742;
82578;31/01/2003;0000;105;34.209677;24.03871;71.919355;
82578;28/02/2003;0000;314.8;31.242857;23.171429;86.446429;
82578;31/03/2003;0000;156.7;31.75;23.077419;86.056452;
82578;30/04/2003;0000;183;31.74;23.513333;85.55;
