--------------------
BDMEP - INMET
--------------------
Esta?o           : TORRES - RS (OMM: 83948)
Latitude  (graus) : -29.35
Longitude (graus) : -49.73
Altitude  (metros): 4.66
Esta?o Operante
Inicio de opera?o: 01/01/1913
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83948;31/01/2000;0000;247.8;27.345161;20.941935;84.403226;
83948;29/02/2000;0000;243.7;26.265517;20.131034;86.974138;
83948;31/03/2000;0000;112;26.13871;19.032258;83.516129;
83948;30/04/2000;0000;100.1;25.39;17.633333;81.516667;
83948;31/05/2000;0000;59.7;22.3;13.864516;78.774194;
83948;30/06/2000;0000;168.3;20.59;13.623333;85.258333;
83948;31/07/2000;0000;83.8;17.403226;8.151613;77.080645;
83948;31/08/2000;0000;155.8;18.13871;9.503226;83.975806;
83948;30/09/2000;0000;190.8;19.323333;12.606667;86.825;
83948;31/10/2000;0000;226.9;21.996774;16.496774;88.201613;
83948;30/11/2000;0000;78.8;24.206667;17.666667;81.783333;
83948;31/12/2000;0000;120.7;26.664516;19.577419;80.491935;
83948;30/09/2001;0000;78.8;;;;
83948;31/10/2001;0000;121.4;23.559259;17.163333;85.769231;
83948;30/11/2001;0000;118.1;24.327586;17.89;87.293103;
83948;31/12/2001;0000;27.6;26.403571;19.375;84.342593;
83948;31/01/2002;0000;181.5;28.006452;;81.483333;
83948;28/02/2002;0000;67.8;28.014286;20.031818;82.759259;
83948;31/03/2002;0000;161.2;29.432258;22.470968;88.354839;
83948;30/04/2002;0000;109.4;25.413333;18.57;86.258621;
83948;31/05/2002;0000;103.1;22.73871;15.670968;92.258065;
83948;30/06/2002;0000;259.6;19.18;12.096667;91.925;
83948;31/07/2002;0000;138.2;18.058065;10.977419;86.395161;
83948;31/08/2002;0000;155;19.164516;13.067742;85.241935;
83948;30/09/2002;0000;124;19.283333;11.976667;78.583333;
83948;31/10/2002;0000;245.1;22.741935;17.470968;87.645161;
83948;30/11/2002;0000;227.6;24.636667;18.648276;79.225;
83948;31/12/2002;0000;152.6;25.532258;19.893333;83.16129;
83948;31/01/2003;0000;56.3;27.43871;20.756667;79.814516;
83948;28/02/2003;0000;265;29.078571;22.078571;82.053571;
83948;31/03/2003;0000;84.4;28.080645;20.819355;79.822581;
83948;30/04/2003;0000;69.8;24.426667;16.79;79.05;
83948;31/05/2003;0000;19.3;22.932258;13.516129;76.741935;
83948;30/06/2003;0000;172;20.626667;14.003448;88.083333;
83948;31/07/2003;0000;103.9;19.429032;11.68;86.008065;
83948;31/08/2003;0000;21.6;18.535484;10.177419;80.524194;
83948;30/09/2003;0000;59.5;18.6;11.946667;84.883333;
83948;31/10/2003;0000;135.3;22.23871;15.925806;82.346774;
83948;30/11/2003;0000;62.4;24.31;17.45;78.616667;
83948;31/12/2003;0000;185.8;25.819355;18.712903;76.758065;
83948;31/01/2004;0000;86.9;26.180645;20.016129;84.072581;
83948;29/02/2004;0000;91.8;26.989655;19.6;78.344828;
83948;31/03/2004;0000;237.3;26.487097;19.46129;79.75;
83948;30/04/2004;0000;45.3;24.65;18.22;86.683333;
83948;31/05/2004;0000;418.8;20.683871;13.506452;82.75;
83948;30/06/2004;0000;47.7;20.466667;12.723333;86.941667;
83948;31/07/2004;0000;97.7;18.803226;10.483871;83.024194;
83948;31/08/2004;0000;27.1;19.793548;11.658065;82.08871;
83948;30/09/2004;0000;157.5;20.656667;15.066667;88.408333;
83948;31/10/2004;0000;102.6;21.570968;14.758065;79.870968;
83948;30/11/2004;0000;95.4;23.173333;17.006897;81.541667;
83948;31/12/2004;0000;152.8;24.280645;18.819355;84.096774;
83948;31/01/2005;0000;16.2;26.887097;20.33871;81.766129;
83948;28/02/2005;0000;65.4;26.375;20.278571;81.892857;
83948;31/03/2005;0000;222.6;26.635484;20.164516;81.314516;
83948;30/04/2005;0000;125;24.18;17.53;84.825;
83948;31/05/2005;0000;88.5;22.983871;15.06129;86.403226;
83948;30/06/2005;0000;50;22.043333;14.86;89.783333;
83948;31/07/2005;0000;71.6;20.574194;11.006667;81.467742;
83948;31/08/2005;0000;203.9;20.8;13.435484;86.145161;
83948;30/09/2005;0000;214;19.133333;12.816667;81.291667;
83948;31/10/2005;0000;220.9;21.512903;16.112903;85.491935;
83948;30/11/2005;0000;92.3;23.963333;17.017857;82.341667;
83948;31/12/2005;0000;47;25.648387;18.670968;75.91129;
83948;31/01/2006;0000;156.8;27.56129;21.258065;84.508065;
83948;28/02/2006;0000;159.7;27.942857;20.864286;81.875;
83948;31/03/2006;0000;89.6;27.96129;20.312903;78.685484;
83948;30/04/2006;0000;39.1;25.48;16.183333;78.2;
83948;31/05/2006;0000;139.7;20.9;12.229032;81.419355;
83948;30/06/2006;0000;62.1;20.103333;12.666667;85.691667;
83948;31/07/2006;0000;111.5;20.664516;13.283871;87.451613;
83948;31/08/2006;0000;79;19.941935;11.709677;81.741935;
83948;30/09/2006;0000;44.1;18.86;11.9;81.95;
83948;31/10/2006;0000;53.7;21.73871;16.490323;85.459677;
83948;30/11/2006;0000;189.2;22.836667;17.173333;83.775;
83948;31/12/2006;0000;77.6;25.141935;19.609677;86.532258;
83948;31/01/2007;0000;210.7;26.254839;20.341935;82.637097;
83948;28/02/2007;0000;192;26.471429;20.867857;84.892857;
83948;31/03/2007;0000;198.3;27.641935;22.16129;87.822581;
83948;30/04/2007;0000;100.3;25.873333;18.676667;83.883333;
83948;31/05/2007;0000;134.6;20.164516;12.825806;81.653226;
83948;30/06/2007;0000;56.2;18.88;11.423333;85.016667;
83948;31/07/2007;0000;188.4;17.493548;9.222581;82.048387;
83948;31/08/2007;0000;144.7;16.751613;10.858065;88.637097;
83948;30/09/2007;0000;178.6;20.373333;15.536667;88.05;
83948;31/10/2007;0000;83.2;22.970968;17.335484;85.370968;
83948;30/11/2007;0000;185.3;22.973333;15.846667;79.616667;
83948;31/12/2007;0000;154.1;25.903226;19.7;82.604839;
83948;31/01/2008;0000;81.1;26.558065;20.367742;80;
83948;29/02/2008;0000;257.1;26.124138;19.803448;85.413793;
83948;31/03/2008;0000;87.1;25.93871;19.309677;84.935484;
83948;30/04/2008;0000;136;24.26;15.876667;83.275;
83948;31/05/2008;0000;160;22.329032;12.93871;82.241935;
83948;30/06/2008;0000;104;18.02;10.16;86.15;
83948;31/07/2008;0000;51;19.780645;13.306452;89.387097;
83948;31/08/2008;0000;99.5;19.341935;12.164516;86.58871;
83948;30/09/2008;0000;197;19.743333;12.493333;83.65;
83948;31/10/2008;0000;172.9;21.65;16.106452;85.120968;
83948;30/11/2008;0000;145.8;22.636667;17.663333;86.508333;
83948;31/12/2008;0000;25;24.774194;18.222581;85.354839;
83948;31/01/2009;0000;200.9;25.493548;19.074194;85.314516;
83948;28/02/2009;0000;118.4;26.407143;20.485714;86.875;
83948;31/03/2009;0000;112.1;27.009677;20.36129;83.830645;
83948;30/04/2009;0000;100.8;25.03;16.896667;79.958333;
83948;31/05/2009;0000;80.2;22.522581;14.054839;83.387097;
83948;30/06/2009;0000;39.6;18.643333;10.516667;82.833333;
83948;31/07/2009;0000;50.9;17.232258;8.951613;84.225806;
83948;31/08/2009;0000;161.8;19.622581;11.490323;88.298387;
83948;30/09/2009;0000;440.3;20.206667;14.296667;86.95;
83948;31/10/2009;0000;84.1;21.590323;15.4;85.637097;
83948;30/11/2009;0000;149.1;25.58;19.83;88.483333;
83948;31/12/2009;0000;107.1;26.303226;20.454839;83.959677;
83948;31/01/2010;0000;164.9;27.816129;21.590323;84.870968;
83948;28/02/2010;0000;158.4;29.814286;22.257143;80.071429;
83948;31/03/2010;0000;162.5;27.335484;20.658065;83.008065;
83948;30/04/2010;0000;138.8;24.66;17.55;82.583333;
83948;31/05/2010;0000;272;21.848387;15.264516;86.403226;
83948;30/06/2010;0000;72.5;19.823333;11.976667;84.4;
83948;31/07/2010;0000;87.4;19.677419;11.306452;84.209677;
83948;31/08/2010;0000;54.6;17.996774;10.819355;83.927419;
83948;30/09/2010;0000;124.5;20.523333;14.27;83.333333;
83948;31/10/2010;0000;39;21.758065;14.474194;79.451613;
83948;30/11/2010;0000;145.5;23.836667;16.353333;80.6;
83948;31/12/2010;0000;71.7;25.835484;19.409677;82.201613;
83948;31/01/2011;0000;324.5;28.190323;21.958065;87.556452;
83948;28/02/2011;0000;185.2;27.753571;22.432143;86.1875;
83948;31/03/2011;0000;129;24.796774;18.474194;84.903226;
83948;30/04/2011;0000;99.5;24.61;16.656667;85.55;
83948;31/05/2011;0000;57.8;22.335484;14.216129;81.895161;
83948;30/06/2011;0000;168.4;19.016667;10.25;83.233333;
83948;31/07/2011;0000;265.7;16.929032;10.512903;89.209677;
83948;31/08/2011;0000;330.1;18.616129;11.925806;82.443548;
83948;30/09/2011;0000;93.7;19.22;11.836667;84.983333;
83948;31/10/2011;0000;77.6;21.822581;15.812903;82.572581;
83948;30/11/2011;0000;31.3;23.47;16.87;80.508333;
83948;31/12/2011;0000;162.7;25.045161;17.929032;84.129032;
83948;31/01/2012;0000;236.6;26.1;20.087097;85.967742;
83948;29/02/2012;0000;54.9;27.603448;20.541379;85.387931;
83948;31/03/2012;0000;12;27.296774;18.722581;77.233871;
83948;30/04/2012;0000;71.9;24.636667;16.503333;78.975;
83948;31/05/2012;0000;19.8;23.645161;14.270968;83.064516;
83948;30/06/2012;0000;66.9;19.833333;10.696667;84.066667;
83948;31/07/2012;0000;127.2;17.958065;10.083871;81.508065;
83948;31/08/2012;0000;112.3;21.222581;13.909677;87.758065;
83948;30/09/2012;0000;199.3;21.6;14.746667;81.5;
83948;31/10/2012;0000;124.2;23.658065;17.245161;83.782258;
83948;30/11/2012;0000;32.7;25.08;17.703333;82.191667;
83948;31/12/2012;0000;234;27.658065;20.03871;84.153226;
83948;31/01/2013;0000;152.1;27.296774;19.858065;74.991935;
83948;28/02/2013;0000;290;27.746429;20.95;83.625;
83948;31/03/2013;0000;240.9;25.493548;18.177419;81.491935;
83948;30/04/2013;0000;62.9;24.796667;16.26;81.058333;
83948;31/05/2013;0000;27.1;21.983871;12.732258;83.072581;
83948;30/06/2013;0000;102.2;19.516667;12.456667;88.2;
83948;31/07/2013;0000;57.8;18.722581;9.445161;84.959677;
83948;31/08/2013;0000;419.1;18.129032;10.225806;86.282258;
83948;30/09/2013;0000;141.1;20.216667;13.31;85.783333;
83948;31/10/2013;0000;73.4;22.583871;15.654839;82.145161;
83948;30/11/2013;0000;149.9;23.86;17.126667;82;
83948;31/12/2013;0000;79.7;26.625806;19.716129;84.620968;
83948;31/01/2014;0000;173.2;28.977419;21.335484;83.959677;
83948;28/02/2014;0000;432.4;28.867857;21.814286;82.758929;
83948;31/03/2014;0000;268.2;26.729032;19.483871;84.403226;
83948;30/04/2014;0000;74.3;25.236667;17.796667;81.483333;
83948;31/05/2014;0000;94;21.867742;14.187097;84.048387;
83948;30/06/2014;0000;196.5;19.933333;12.36;87.691667;
83948;31/07/2014;0000;91;19.822581;11.945161;86.032258;
83948;31/08/2014;0000;101.2;20.535484;11.654839;82.935484;
83948;30/09/2014;0000;123.4;21.536667;15.016667;86.925;
83948;31/10/2014;0000;133.9;23.5;17.370968;83.459677;
83948;30/11/2014;0000;73.9;25.416667;18.273333;80.808333;
83948;31/12/2014;0000;94.5;27.3;20.083871;81.25;
83948;31/01/2015;0000;182;29.706452;22.167742;82.225806;
83948;28/02/2015;0000;213.5;28.496429;21.035714;84.008929;
83948;31/03/2015;0000;129.3;27.129032;19.809677;83.266129;
83948;30/04/2015;0000;152.7;24.94;17.47;83.45;
83948;31/05/2015;0000;308.3;22.567742;15.209677;87.08871;
83948;30/06/2015;0000;111.1;21.306667;11.62;83.933333;
83948;31/07/2015;0000;239.7;19.748387;12.687097;90.266129;
83948;31/08/2015;0000;97.4;22.658065;16.074194;86.024194;
83948;30/09/2015;0000;252.7;21.17;14.473333;85.216667;
83948;31/10/2015;0000;268.5;21.641935;16.019355;87.225806;
83948;30/11/2015;0000;101.8;23.966667;18.043333;84.158333;
83948;31/12/2015;0000;148;26.683871;20.363333;86.620968;
