--------------------
BDMEP - INMET
--------------------
Esta?o           : TUCURUI - PA (OMM: 82361)
Latitude  (graus) : -3.76
Longitude (graus) : -49.66
Altitude  (metros): 40.00
Esta?o Operante
Inicio de opera?o: 01/01/1970
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82361;31/01/2000;0000;347.7;32.387097;23.474194;89.16129;
82361;29/02/2000;0000;580.9;31.458621;23.110345;91.422414;
82361;31/03/2000;0000;499.5;32.077419;23.364516;91.33871;
82361;30/04/2000;0000;355.2;31.973333;23.593333;91.141667;
82361;31/05/2000;0000;229.9;32.603226;24.054839;89.104839;
82361;30/06/2000;0000;88.4;33.063333;23.846667;87.091667;
82361;31/07/2000;0000;90.2;33.8;23.46129;85.354839;
82361;31/08/2000;0000;22.7;34.896774;23.567742;84.41129;
82361;30/09/2000;0000;99;34.37;23.48;86.308333;
82361;31/10/2000;0000;42.9;34.574194;24.387097;86.701613;
82361;30/11/2000;0000;30.9;35.24;24.413333;83.05;
82361;31/12/2000;0000;180.2;33.841935;23.983871;85.903226;
82361;31/01/2001;0000;632.2;33.190323;22.677419;89.483871;
82361;28/02/2001;0000;265.1;32.846429;22.564286;91.0625;
82361;31/03/2001;0000;572.9;33.119355;22.806452;91.330645;
82361;30/04/2001;0000;633;33.263333;22.723333;91.508333;
82361;31/05/2001;0000;272.1;34.541935;23.370968;90.282258;
82361;30/06/2001;0000;149.5;33.693333;22.256667;88.016667;
82361;31/07/2001;0000;60.4;34.216129;22.1;83.959677;
82361;31/08/2001;0000;3.1;35.087097;22.283871;77.362903;
82361;30/09/2001;0000;57.8;34.666667;23.19;80.616667;
82361;31/10/2001;0000;77.1;34.719355;23.56129;80.290323;
82361;30/11/2001;0000;130.9;34.64;23.936667;78.975;
82361;31/12/2001;0000;262.9;33.870968;23.535484;85.951613;
82361;31/01/2002;0000;334.4;33.167742;22.477419;86.693548;
82361;28/02/2002;0000;252.8;33.967857;22.828571;86.634615;
82361;31/03/2002;0000;329.6;33.980645;22.283871;86.467742;
82361;30/04/2002;0000;364.1;33.26;22.36;87.475;
82361;31/05/2002;0000;194.3;34.33871;22.635484;86.072581;
82361;30/06/2002;0000;137.2;34.076667;23.525;85.475;
82361;31/07/2002;0000;68.4;34.280645;21.63871;85.870968;
82361;31/08/2002;0000;28.6;35.3;21.5;82.879032;
82361;30/09/2002;0000;61.4;36.023333;22.266667;81.633333;
82361;31/10/2002;0000;7.9;34.93871;22.6;81.129032;
82361;30/11/2002;0000;125.3;34.556667;23.506667;79.425;
82361;31/12/2002;0000;295.4;32.564516;24.416129;81.620968;
82361;31/01/2003;0000;190.9;32.325806;24.854839;85.814516;
82361;28/02/2003;0000;663.4;31.521429;23.964286;87.982143;
82361;31/03/2003;0000;526.6;31.535484;24.116129;87.290323;
82361;30/04/2003;0000;396;32.476667;24.473333;85.783333;
82361;31/05/2003;0000;195.9;32.893548;24.987097;83.951613;
82361;30/06/2003;0000;87.9;32.99;24.483333;82.841667;
82361;31/07/2003;0000;14.5;33.9;24.13871;76.798387;
82361;31/08/2003;0000;78.8;34.253333;24.2;78.532258;
82361;30/09/2003;0000;43.1;33.753333;24.556667;79.358333;
82361;31/10/2003;0000;18.6;32.719355;24.853333;77.620968;
82361;30/11/2003;0000;169.2;32.513333;24.903333;79.975;
82361;31/12/2003;0000;100.3;32.616129;24.767742;79.290323;
82361;31/01/2004;0000;302.2;31.451613;24.416129;82.217742;
82361;29/02/2004;0000;321.3;31.065517;23.996552;84.681034;
82361;31/03/2004;0000;395.5;31.558065;24.270968;84.129032;
82361;30/04/2004;0000;294.7;32.134483;24.489655;82.166667;
82361;31/05/2004;0000;118.1;32.909677;24.983871;79.572581;
82361;30/06/2004;0000;92.9;32.77;23.963333;77.066667;
82361;31/07/2004;0000;65.6;32.86129;23.629032;74.790323;
82361;31/08/2004;0000;27.9;33.209677;24.180645;74.282258;
82361;30/09/2004;0000;55.1;33.166667;24.393333;75.225;
82361;31/10/2004;0000;9.4;33.629032;25.312903;71.637097;
82361;30/11/2004;0000;74.2;33.423333;25.36;72.175;
82361;31/12/2004;0000;112.5;32.406452;24.970968;77.33871;
82361;31/01/2005;0000;237.4;32.548387;24.958065;79.701613;
82361;28/02/2005;0000;458.7;31.707143;24.314286;84.642857;
82361;31/03/2005;0000;402.1;32.035484;24.619355;83.814516;
82361;30/04/2005;0000;338.8;32.273333;24.383333;83.916667;
82361;31/05/2005;0000;325.2;32.380645;24.487097;81.185484;
82361;30/06/2005;0000;29.2;33.26;24.613793;75.083333;
82361;31/07/2005;0000;59.4;33.629032;23.706452;69.846774;
82361;31/08/2005;0000;36.8;33.941935;24.112903;70.596774;
82361;30/09/2005;0000;9.3;34.196667;25.196667;69.666667;
82361;31/10/2005;0000;73;33.570968;25.045161;72.032258;
