--------------------
BDMEP - INMET
--------------------
Esta?o           : TURIACU - MA (OMM: 82198)
Latitude  (graus) : -1.56
Longitude (graus) : -45.36
Altitude  (metros): 44.06
Esta?o Operante
Inicio de opera?o: 29/07/1976
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
82198;31/01/2000;0000;268.4;30.580645;23.483871;84.935484;
82198;29/02/2000;0000;391.5;30.241379;23.02069;85.405172;
82198;31/03/2000;0000;245.4;29.83871;23.048387;88.548387;
82198;30/04/2000;0000;442.3;29.743333;22.99;90.383333;
82198;31/05/2000;0000;435;30.412903;23.393548;89.782258;
82198;30/06/2000;0000;227.9;30.833333;23.37;85.391667;
82198;31/07/2000;0000;214.5;30.651613;23.274194;88.677419;
82198;31/08/2000;0000;57.4;31.035484;23.93871;82.185484;
82198;30/09/2000;0000;76.8;31.17;24.076667;80.958333;
82198;31/10/2000;0000;1.3;31.590323;24.674194;77.346774;
82198;30/11/2000;0000;0;32.496667;24.483333;75.3;
82198;31/12/2000;0000;32.8;32.054839;24.390323;76.032258;
82198;31/01/2001;0000;314.6;30.212903;23.254839;82.5;
82198;28/02/2001;0000;386.1;30.017857;22.882143;86.544643;
82198;31/03/2001;0000;291.7;30.480645;23.251613;88.612903;
82198;30/04/2001;0000;588.2;30.32;22.906667;88.95;
82198;31/05/2001;0000;201.3;31.570968;24.264516;83.540323;
82198;30/06/2001;0000;325.5;30.833333;22.843333;86.9;
82198;31/07/2001;0000;155.1;30.858065;23.348387;84.604839;
82198;31/08/2001;0000;23;31.76129;23.677419;77.903226;
82198;30/09/2001;0000;24.9;32.123333;24.326667;75.141667;
82198;31/10/2001;0000;0.4;32.448387;24.609677;73.217742;
82198;30/11/2001;0000;0.2;32.59;24.993333;74.075;
82198;31/12/2001;0000;19.6;32.606452;25.077419;75.419355;
82198;31/01/2002;0000;348.9;30.819355;23.948387;85.716667;
82198;28/02/2002;0000;117.6;31.660714;24.060714;82.625;
82198;31/03/2002;0000;277;30.809677;23.622581;86.072581;
82198;30/04/2002;0000;595;30.714286;23.28;89.2;
