--------------------
BDMEP - INMET
--------------------
Esta?o           : UNAI - MG (OMM: 83428)
Latitude  (graus) : -16.36
Longitude (graus) : -46.88
Altitude  (metros): 460.00
Esta?o Operante
Inicio de opera?o: 07/04/1976
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83428;31/01/2000;0000;180.1;31.374194;21.26129;74.548387;
83428;29/02/2000;0000;260.5;30.958621;20.831034;75.25;
83428;31/03/2000;0000;346.8;30.496774;20.66129;76.709677;
83428;30/04/2000;0000;10.4;31.26;18.92;65.566667;
83428;31/05/2000;0000;0;31.122581;15.706452;58.129032;
83428;30/06/2000;0000;0;30.4;12.926667;54.958333;
83428;31/07/2000;0000;5.1;29.703226;13.403226;52.266129;
83428;31/08/2000;0000;30.3;32.232258;15.077419;44.25;
83428;30/09/2000;0000;30.7;31.726667;18.786667;54.216667;
83428;31/10/2000;0000;68.4;35.303226;20.33871;46.080645;
83428;30/11/2000;0000;322.4;30.46;20.306667;73.8;
83428;31/12/2000;0000;137.6;31.03871;21.196774;75.193548;
83428;31/01/2001;0000;42.8;32.509677;20.532258;61.129032;
83428;28/02/2001;0000;75.1;34.25;20.557143;57.955357;
83428;31/03/2001;0000;139.6;31.274194;20.164516;72.725806;
83428;30/04/2001;0000;2.5;32.82;18.653333;57.941667;
83428;31/05/2001;0000;79.9;31.412903;17.158065;62.112903;
83428;30/06/2001;0000;0;29.953333;14.74;56.433333;
83428;31/07/2001;0000;5.2;30.832258;14.387097;50.395161;
83428;31/08/2001;0000;48.8;30.367742;14.609677;46.145161;
83428;30/09/2001;0000;27.5;32.606667;18.433333;49.375;
83428;31/10/2001;0000;147.7;31.574194;19.564516;61.677419;
83428;30/11/2001;0000;402.9;30.826667;19.62;75.983333;
83428;31/12/2001;0000;147.7;30.76129;20.441935;73.091667;
83428;31/01/2002;0000;130.6;32.148387;21.516129;69.217742;
83428;28/02/2002;0000;251.4;31.328571;20.642857;75.964286;
83428;31/03/2002;0000;240.6;31.967742;19.648387;68.75;
83428;30/04/2002;0000;11.5;32.133333;18.846667;61.8;
83428;31/05/2002;0000;9;31.28;16.948387;64.435484;
83428;30/06/2002;0000;0;29.746667;14.106667;60.416667;
83428;31/07/2002;0000;1.2;31.1;15.306667;57.451613;
83428;31/08/2002;0000;0;31.026667;15.377419;46.866667;
83428;30/09/2002;0000;23.1;31.613333;19.133333;50.483333;
83428;31/10/2002;0000;26.8;35.419355;20.793333;39.846774;
83428;30/11/2002;0000;164.1;32.86;20.906667;63.558333;
83428;31/12/2002;0000;277.7;32.122581;21.654839;69.782258;
83428;31/01/2003;0000;270.4;31.525806;21.590323;77.540323;
83428;28/02/2003;0000;191.7;32.328571;20.228571;69.116071;
83428;31/03/2003;0000;237.7;30.9;20.416129;75.346774;
83428;30/04/2003;0000;60.6;31.85;19.76;68.591667;
83428;31/05/2003;0000;47.5;29.809677;16.603226;65.564516;
83428;30/06/2003;0000;0;30.383333;13.28;58.366667;
83428;31/07/2003;0000;0;29.719355;12.435484;51.814516;
83428;31/08/2003;0000;23.1;32.022581;15.996774;52.362903;
83428;30/09/2003;0000;14.9;33.193333;18.646667;48.466667;
83428;31/10/2003;0000;40.4;33.583871;19.33871;50.725806;
83428;30/11/2003;0000;185.4;32.16;20.953333;69.008333;
83428;31/12/2003;0000;191.8;32.919355;20.790323;66.209677;
83428;31/01/2004;0000;322.4;30.158065;21.435484;79.354839;
83428;29/02/2004;0000;411.4;29.87931;18.844828;81.732759;
83428;31/03/2004;0000;190.9;31.13871;19.983871;73.870968;
83428;30/04/2004;0000;98.8;30.54;19.566667;73.566667;
83428;31/05/2004;0000;0.2;30.403226;17.770968;67.685484;
83428;30/06/2004;0000;0.1;28.893333;13.846667;62.958333;
83428;31/07/2004;0000;0;28.635484;13.448387;56.475806;
83428;31/08/2004;0000;0;31.835484;13.909677;41.903226;
83428;30/09/2004;0000;0;34.833333;16.62;33.916667;
83428;31/10/2004;0000;96.2;34.86129;21.76129;51.846774;
83428;30/11/2004;0000;174.1;32.92;21.646667;64.9;
83428;31/12/2004;0000;240.9;31.019355;20.429032;76.91129;
83428;31/01/2005;0000;160.7;31.667742;21.616129;76.459677;
83428;28/02/2005;0000;432.2;32;20.85;71.553571;
83428;31/03/2005;0000;282.8;31.654839;21.177419;77.217742;
83428;30/04/2005;0000;35.9;32.093333;19.593333;66.208333;
83428;31/05/2005;0000;1.2;30.093548;16.9;63.532258;
83428;30/06/2005;0000;0;29.42;15.873333;61.95;
83428;31/07/2005;0000;0;29.583871;13.983871;54.209677;
83428;31/08/2005;0000;39.8;32.067742;15.932258;47.137097;
83428;30/09/2005;0000;28.2;34.273333;20.22;47.183333;
83428;31/10/2005;0000;17.2;37.187097;21.790323;38.306452;
83428;30/11/2005;0000;461.4;30.013333;20.966667;77.666667;
83428;31/12/2005;0000;336.3;29.990323;20.029032;75.362903;
83428;31/01/2006;0000;111.5;32.325806;20.390323;63.508065;
83428;28/02/2006;0000;123.4;33.028571;21.378571;71.696429;
83428;31/03/2006;0000;268.2;30.977419;20.93871;79.137097;
83428;30/04/2006;0000;153.2;30.7;19.473333;73.483333;
83428;31/05/2006;0000;4.2;29.874194;16.074194;65.258065;
83428;30/06/2006;0000;0;28.566667;13.646667;60.683333;
83428;31/07/2006;0000;0;29.783871;13.693548;56.193548;
83428;31/08/2006;0000;8.5;32.729032;16.487097;49.532258;
83428;30/09/2006;0000;54;32.946667;18.433333;51.45;
83428;31/10/2006;0000;158.8;30.783871;18.641935;73.306452;
83428;30/11/2006;0000;241;31.2;18.506667;73.208333;
83428;31/12/2006;0000;321.7;31.493548;21.190323;74.895161;
83428;31/01/2007;0000;348.5;32.067742;21.096774;74.790323;
83428;28/02/2007;0000;327.6;30.828571;20.45;76.973214;
83428;31/03/2007;0000;28.5;32.73871;19.945161;62.193548;
