--------------------
BDMEP - INMET
--------------------
Esta?o           : URUGUAIANA - RS (OMM: 83927)
Latitude  (graus) : -29.75
Longitude (graus) : -57.08
Altitude  (metros): 62.31
Esta?o Operante
Inicio de opera?o: 01/02/1912
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83927;31/01/2000;0000;152.7;32.503226;17.483871;65.370968;
83927;29/02/2000;0000;106.6;31.72069;16.706897;68.724138;
83927;31/03/2000;0000;392.4;27.196774;15.793548;77.266129;
83927;30/04/2000;0000;99.6;25.993333;15.22;79.741667;
83927;31/05/2000;0000;219.9;20.825806;9.735484;83.137097;
83927;30/06/2000;0000;75.4;18.686667;10.006667;85.283333;
83927;31/07/2000;0000;73.7;15.5;3.26129;81.403226;
83927;30/09/2000;0000;92.8;21.673333;10.372727;74.458333;
83927;31/10/2000;0000;306.2;25.732258;;79;
83927;30/11/2000;0000;153.5;26.523333;15.613043;76.583333;
83927;31/12/2000;0000;89.3;30.012903;18.174194;76.741935;
83927;30/09/2001;0000;33;;;;
83927;31/10/2001;0000;58;25.096296;15.573333;81.346154;
83927;30/11/2001;0000;78;28.54;16.146667;80.577586;
83927;31/12/2001;0000;1;31.142857;17.85;77.185185;
83927;31/01/2002;0000;100.3;32.654839;19.506452;70.05;
83927;28/02/2002;0000;51.4;30.303571;19.042857;74.435185;
83927;31/03/2002;0000;358.1;30.054839;20.658065;85.225806;
83927;30/04/2002;0000;336.8;23.81;15.606667;88.155172;
83927;31/05/2002;0000;84.4;23.006452;14.13871;85.895161;
83927;30/06/2002;0000;39.9;18.27;8.41;84.941667;
83927;31/07/2002;0000;132.7;17.62;8.335714;82.830645;
83927;31/08/2002;0000;69.7;22.083871;11.235484;78.08871;
83927;30/09/2002;0000;140;21.768966;10.528571;74.208333;
83927;31/10/2002;0000;246.2;26.032258;17.048387;79.112903;
83927;30/11/2002;0000;169.3;27.1;17.013333;76.491667;
83927;31/12/2002;0000;277.4;28.62;19.416667;74.532258;
83927;31/01/2003;0000;116.2;31.722581;20.551613;68.725806;
83927;28/02/2003;0000;133.4;30.182143;19.103571;75.375;
83927;31/03/2003;0000;325.2;27.287097;17.9;77.758065;
83927;30/04/2003;0000;182.5;24.106667;14.156667;80.283333;
83927;31/05/2003;0000;145.6;22.677419;11.606452;73.41129;
83927;30/06/2003;0000;101;20.516667;12.08;85.158333;
83927;31/07/2003;0000;14.6;18.406452;8.33871;81.483871;
83927;31/08/2003;0000;120.4;19.448387;7.806452;78.112903;
83927;30/09/2003;0000;36.9;24.25;10.483333;70.8;
83927;31/10/2003;0000;243.2;26.345161;14.796429;74.403226;
83927;30/11/2003;0000;128.9;28.153333;15.703571;70.375;
83927;31/12/2003;0000;204.7;27.387097;16.97;75.387097;
83927;31/01/2004;0000;21.7;32.306452;19.732258;71.112903;
83927;29/02/2004;0000;98.1;30.07931;18.306897;71.034483;
83927;31/03/2004;0000;40.7;30.729032;17.578571;72.370968;
83927;30/04/2004;0000;186;27.62;16.583333;78.691667;
83927;31/05/2004;0000;53.6;19.048387;9.716129;85.096774;
83927;30/06/2004;0000;85.4;20.213333;10.965385;85.275;
83927;31/07/2004;0000;57.9;19.051613;8.612903;78.169355;
83927;31/08/2004;0000;21.7;20.990323;9.580645;79.532258;
83927;30/09/2004;0000;61.2;23.92;12.56;77.233333;
83927;31/10/2004;0000;206.9;25.6;12.748276;70.153226;
83927;30/11/2004;0000;157.3;26.556667;15.574074;74.933333;
83927;31/12/2004;0000;79.6;30.032258;18.732258;69.741935;
83927;31/01/2005;0000;63.9;33.925806;20.241935;65.096774;
83927;28/02/2005;0000;16.7;31.382143;19.262963;69.723214;
83927;31/03/2005;0000;77.8;29.93871;17.658065;73.854839;
83927;30/04/2005;0000;160.3;24.09;14.006667;83.316667;
83927;31/05/2005;0000;205.1;22.296774;13.451613;86.153226;
83927;30/06/2005;0000;216.6;21.52;14.186667;88.183333;
83927;31/07/2005;0000;8.3;20.13871;8.706452;80.903226;
83927;31/08/2005;0000;85.5;21.945161;10.496774;73.862903;
83927;30/09/2005;0000;55.7;19.92;8.9;78.85;
83927;31/10/2005;0000;105;23.764516;13.264516;80.427419;
83927;30/11/2005;0000;104.2;29.363333;16.283333;75.033333;
83927;31/12/2005;0000;116.6;29.893548;17.390323;74.854839;
83927;31/01/2006;0000;41;33.422581;21.025806;61.459677;
83927;28/02/2006;0000;14.8;33.053571;19.453571;56.428571;
83927;31/03/2006;0000;87.2;31.587097;18.116129;69.258065;
83927;30/04/2006;0000;132.9;26.763333;14.696667;72.633333;
83927;31/05/2006;0000;21.2;20.958065;8.754839;75.475806;
83927;30/06/2006;0000;129.9;20.586207;10.496667;80;
83927;31/07/2006;0000;50.7;22.554839;11.53871;81.516129;
83927;31/08/2006;0000;39.7;21.103226;8.345161;78.604839;
83927;30/09/2006;0000;66.8;22.7;9.696667;74.258333;
83927;31/10/2006;0000;175.1;28.074194;15.354839;70.572581;
83927;30/11/2006;0000;148.4;27.043333;16.053333;67.916667;
83927;31/12/2006;0000;180.9;31.767742;19.516129;71.782258;
83927;31/01/2007;0000;32.3;31.683871;20.154839;76.282258;
83927;28/02/2007;0000;210.7;32.296429;19.117857;76.857143;
83927;31/03/2007;0000;275.4;29.280645;19.235484;83.072581;
83927;30/04/2007;0000;90.9;27.096667;16.576667;81.65;
83927;31/05/2007;0000;23.1;19.177419;8.019355;84.362903;
83927;30/06/2007;0000;55.7;18.58;7.76;82.083333;
83927;31/07/2007;0000;27.8;16.167742;4.432258;77.459677;
83927;31/08/2007;0000;113.7;17.641935;6.46129;81.266129;
83927;30/09/2007;0000;104.5;23.903333;13.61;80.075;
83927;31/10/2007;0000;205.6;26.083871;15.529032;78.895161;
83927;30/11/2007;0000;114.5;27.486667;13.606667;62.608333;
83927;31/12/2007;0000;51.6;31.416129;17.951613;57.330645;
83927;31/01/2008;0000;133.2;32.66129;19.174194;66.991935;
83927;29/02/2008;0000;98.7;31.862069;18.703448;67.603448;
83927;31/03/2008;0000;110.9;29.7;17.26129;71.274194;
83927;30/04/2008;0000;31.4;26.476667;12.963333;71.45;
83927;31/05/2008;0000;78.5;22.135484;9.925806;78.314516;
83927;30/06/2008;0000;80.2;16.686667;6.97;78.283333;
83927;31/07/2008;0000;86.2;20.9;12.045161;76.419355;
83927;31/08/2008;0000;82;20.706667;8.743333;76.458333;
83927;30/09/2008;0000;103;21.283333;9.653333;73.483333;
83927;31/10/2008;0000;236.5;24.86129;14.148387;74.266129;
83927;30/11/2008;0000;23.1;30.406667;17.106667;61.583333;
83927;31/12/2008;0000;13.8;32.348387;18.490323;54.108333;
83927;31/01/2009;0000;93.3;31.936667;18.309677;65.266129;
83927;28/02/2009;0000;146.6;31.625;19.185714;71.696429;
83927;31/03/2009;0000;138.6;30.43871;17.316129;69.846774;
83927;30/04/2009;0000;24.7;28.29;13.536667;67.525;
83927;31/05/2009;0000;96.8;23.974194;11.393548;71.629032;
83927;30/06/2009;0000;16.6;18.093333;5.336667;72.983333;
83927;31/07/2009;0000;26.4;17.390323;3.964516;70.991935;
83927;31/08/2009;0000;33.1;23.329032;9.706452;66.604839;
83927;30/09/2009;0000;119.4;20.72;10.146667;76.975;
83927;31/10/2009;0000;87.7;26.351613;12.635484;70.129032;
83927;30/11/2009;0000;569.3;27.89;18.666667;83.008333;
83927;31/12/2009;0000;335.3;29.709677;18.522581;77.419355;
83927;31/01/2010;0000;169;31.090323;19.43871;73.983871;
83927;28/02/2010;0000;308.1;31.089286;19.735714;76.080357;
83927;31/03/2010;0000;136.5;30.148387;17.441935;68.709677;
83927;30/04/2010;0000;38.3;26.003333;13.01;67.725;
83927;31/05/2010;0000;196.8;20.870968;10.629032;78.217742;
83927;30/06/2010;0000;4.5;19.463333;8.336667;78.733333;
83927;31/07/2010;0000;128.2;18.845161;7.551613;75.241935;
83927;31/08/2010;0000;14.6;19.983871;9.067742;72.854839;
83927;30/09/2010;0000;151.2;22.253333;13.193333;74.1;
83927;31/10/2010;0000;44.4;25.383871;13.496774;61.548387;
83927;30/11/2010;0000;20.9;29.753333;15.486667;53.075;
83927;31/12/2010;0000;95.3;31.687097;18.893548;57.137097;
83927;31/01/2011;0000;112.3;33;20.283871;68.169355;
83927;28/02/2011;0000;68.6;30.696429;19.353571;67.991071;
83927;31/03/2011;0000;78.7;29.774194;16.56129;65.217742;
83927;30/04/2011;0000;87.8;27.26;13.61;65.933333;
83927;31/05/2011;0000;120;22.022581;10.764516;73.120968;
83927;30/06/2011;0000;63;19.036667;7.876667;75.983333;
83927;31/07/2011;0000;71;18.576667;6.87;73.185484;
83927;31/08/2011;0000;104.8;20.209677;8.241935;73.516129;
83927;30/09/2011;0000;75.4;25;10.233333;63.05;
83927;31/10/2011;0000;217.1;24.767742;13.309677;69.766129;
83927;30/11/2011;0000;57.5;30.263333;15.886667;58.108333;
83927;31/12/2011;0000;185.8;30.512903;17.535484;55.701613;
83927;31/01/2012;0000;33.2;32.783871;19.867742;56.096774;
83927;29/02/2012;0000;101.8;32.97931;20.910345;65.793103;
83927;31/03/2012;0000;44;30.43871;17.016129;61.806452;
83927;30/04/2012;0000;135.2;25.87;14.226667;68.125;
83927;31/05/2012;0000;39.7;24.512903;12.545161;69.725806;
83927;30/06/2012;0000;37.3;19.356667;9.946667;76.15;
83927;31/07/2012;0000;32.4;18.445161;6.3;67.177419;
83927;31/08/2012;0000;145.9;24.264516;12.793548;70.814516;
83927;30/09/2012;0000;118.5;24.756667;13.183333;65.125;
83927;31/10/2012;0000;338;25.119355;16.364516;76.112903;
83927;30/11/2012;0000;35.6;31.003333;18.753333;53.85;
83927;31/12/2012;0000;334.8;30.854839;19.893548;70.298387;
83927;31/01/2013;0000;163.4;30.851613;19.125806;60.516129;
83927;28/02/2013;0000;257.7;30.578571;19.585714;68.035714;
83927;31/03/2013;0000;155.4;26.603226;16.551613;69.951613;
83927;30/04/2013;0000;84.4;26.026667;14.66;70.241667;
83927;31/05/2013;0000;101.4;20.880645;11.796774;78.064516;
83927;30/06/2013;0000;25.8;18.86;9.393333;77.583333;
83927;31/07/2013;0000;102.4;19.451613;8.845161;74.540323;
83927;31/08/2013;0000;23.1;19.554839;7.687097;65.443548;
83927;30/09/2013;0000;42.5;23.703333;11.786667;63.516667;
83927;31/10/2013;0000;85.1;27.109677;14.248387;60.991935;
83927;30/11/2013;0000;225.1;28.81;17.346667;66.475;
83927;31/12/2013;0000;89.9;33.66129;20.76129;54.322581;
83927;31/01/2014;0000;171.9;32.835484;21.541935;63.16129;
83927;28/02/2014;0000;325.9;31.528571;21.217857;67.517857;
83927;31/03/2014;0000;198.1;27.719355;16.216129;70.862903;
83927;30/04/2014;0000;84.9;25.796667;15.293333;72.583333;
83927;31/05/2014;0000;150;21.583871;11.958065;79.185484;
83927;30/06/2014;0000;83.2;18.693333;8.706667;81.441667;
83927;31/07/2014;0000;89.4;20.480645;10.206452;79.983871;
83927;31/08/2014;0000;25.2;23.709677;10.419355;68.572581;
83927;30/09/2014;0000;220.4;23.866667;13.64;77.266667;
83927;31/10/2014;0000;131.6;28.112903;16.890323;71.040323;
83927;30/11/2014;0000;50.6;29.386667;17.686667;62.158333;
83927;31/12/2014;0000;472.9;29.419355;19.025806;70.233871;
83927;31/01/2015;0000;231;31.193548;20.1;72.766129;
83927;28/02/2015;0000;141.7;30.935714;20.971429;69.419643;
83927;31/03/2015;0000;89.6;30.083871;18.422581;68.443548;
83927;30/04/2015;0000;28.3;28.676667;14.483333;61.441667;
83927;31/05/2015;0000;100.6;23.570968;13.087097;75.580645;
83927;30/06/2015;0000;52;21.18;11.163333;77.425;
83927;31/07/2015;0000;76;19.154839;9.816129;82.887097;
83927;31/08/2015;0000;146.1;24.396774;14.287097;76.008065;
83927;30/09/2015;0000;58.4;24.293333;12.02;66.125;
83927;31/10/2015;0000;317.4;24.435484;13.974194;74.395161;
83927;30/11/2015;0000;243.8;26.43;16.473333;71.433333;
83927;31/12/2015;0000;367.2;29.36129;19.522581;73.548387;
