--------------------
BDMEP - INMET
--------------------
Esta?o           : URUSSANGA - SC (OMM: 83923)
Latitude  (graus) : -28.51
Longitude (graus) : -49.31
Altitude  (metros): 48.17
Esta?o Operante
Inicio de opera?o: 01/01/1924
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83923;30/09/2001;0000;0;;;;
83923;31/10/2001;0000;0;;;;
83923;30/11/2001;0000;0;;;;
83923;31/12/2001;0000;0;;;;
83923;31/01/2002;0000;148.5;30.267742;20.093548;;
83923;28/02/2002;0000;128.9;29.035714;18.660714;;
83923;31/03/2002;0000;208.3;31.564516;21.432258;;
83923;30/04/2002;0000;81;27.123333;18.163333;;
83923;31/05/2002;0000;0;;;;
83923;30/06/2002;0000;0;;;;
83923;31/07/2002;0000;73.3;21.322581;10.367742;85.774194;
83923;31/08/2002;0000;78.5;23.741935;12.832258;81.258065;
83923;30/09/2002;0000;87.3;23.136667;10.61;78.658333;
83923;31/10/2002;0000;228;26.554839;17.264516;84.975806;
83923;30/11/2002;0000;226.2;28.806667;17.24;80.65;
83923;31/12/2002;0000;289;29.080645;18.909677;80.806452;
83923;31/01/2003;0000;95.2;29.987097;19.822581;80.641667;
83923;28/02/2003;0000;256.7;32.6;20.539286;82.3125;
83923;31/03/2003;0000;223.2;29.8;19.032258;84.83871;
83923;31/05/2003;0000;42.9;25.383871;11.483871;83.266129;
83923;30/06/2003;0000;76.8;22.57;13.513333;91.566667;
83923;31/07/2003;0000;52;21.116129;11.203226;87.370968;
83923;31/08/2003;0000;30.4;22.26129;8.341935;80.282258;
83923;30/09/2003;0000;112.2;23.486667;11.456667;82.825;
83923;31/10/2003;0000;111;26.087097;14.703226;80.58871;
83923;30/11/2003;0000;91;28.136667;16.166667;76.416667;
83923;31/12/2003;0000;277.8;28.087097;17.53871;79.330645;
83923;31/01/2004;0000;148.9;29.374194;18.622581;81.056452;
83923;29/02/2004;0000;77.7;28.741379;17.793103;82.275862;
83923;31/03/2004;0000;162.3;27.780645;17.380645;84.508065;
83923;30/04/2004;0000;162.1;27.536667;16.686667;85.575;
83923;31/05/2004;0000;250.7;21.670968;11.241935;87.225;
83923;30/06/2004;0000;50.8;23.416667;10.61;86.85;
83923;31/07/2004;0000;97.4;20.619355;8.290323;87.91129;
83923;31/08/2004;0000;31.5;22.880645;8.764516;81.032258;
83923;30/09/2004;0000;278.8;24.683333;14.11;85.905172;
83923;31/10/2004;0000;84.7;24.93871;12.4;76.185484;
83923;30/11/2004;0000;118.8;26.896667;14.71;77.816667;
83923;31/12/2004;0000;166.1;27.596774;16.36129;82.225806;
83923;31/01/2005;0000;85.8;30.416129;17.919355;78.370968;
83923;28/02/2005;0000;128.8;28.996429;17.185714;83;
83923;31/03/2005;0000;182.5;29.203226;16.948387;84.016129;
83923;30/04/2005;0000;66;26.553333;14.81;86.383333;
83923;31/05/2005;0000;120.4;25.535484;10.990323;86.895161;
83923;30/06/2005;0000;52.2;24.81;13.4;88.908333;
83923;31/07/2005;0000;74.4;22.835484;9.351613;85.983871;
83923;31/08/2005;0000;317.6;24.870968;12.487097;85.925;
83923;30/09/2005;0000;163.1;21.786667;12.146667;84.208333;
83923;31/10/2005;0000;316.7;23.980645;15.906452;87.169355;
83923;30/11/2005;0000;140.2;27.946667;15.91;78.633333;
83923;31/12/2005;0000;111.5;28.541935;16.954839;78.629032;
83923;31/01/2006;0000;293.4;31.435484;20.209677;82.370968;
83923;28/02/2006;0000;112.4;30;19.771429;84.392857;
83923;31/03/2006;0000;103.8;30.235484;18.267742;82.919355;
83923;30/04/2006;0000;136.3;26.95;14.043333;82.691667;
83923;31/05/2006;0000;101.7;21.864516;11.041935;84.887097;
83923;30/06/2006;0000;49.2;22.59;11.68;84.308333;
83923;31/07/2006;0000;110.2;23.448387;12.319355;85.903226;
83923;31/08/2006;0000;130.3;23.912903;11.193548;80.508065;
83923;30/09/2006;0000;23.8;23.83;11.33;78.025;
83923;31/10/2006;0000;78.7;25.983871;15.416129;81.927419;
83923;30/11/2006;0000;327.9;25.346667;16.133333;82.05;
83923;31/12/2006;0000;57.4;30.409677;19.248387;79.209677;
83923;31/01/2007;0000;158.5;29.919355;19.751613;80.33871;
83923;28/02/2007;0000;174.1;30.067857;18.785714;83.75;
83923;31/03/2007;0000;232.7;31.070968;20.245161;86.5;
83923;30/04/2007;0000;110.4;27.98;17.073333;85.816667;
83923;31/05/2007;0000;191.5;21.583871;11.212903;87.677419;
83923;30/06/2007;0000;23.6;22.403333;10.74;86.55;
83923;31/07/2007;0000;149.8;19.670968;8.23871;85.983871;
83923;31/08/2007;0000;104.3;21.064516;10.119355;86.685484;
83923;30/09/2007;0000;124.3;25.83;14.913333;80.325;
83923;31/10/2007;0000;84.6;26.703226;16.958065;80.387097;
83923;30/11/2007;0000;138.3;26.236667;15.726667;76.791667;
83923;31/12/2007;0000;234.4;29.470968;18.848387;79.693548;
83923;31/01/2008;0000;150;28.251613;19.593548;83.387097;
83923;29/02/2008;0000;217.6;28.917241;19.103448;83.456897;
83923;31/03/2008;0000;188.9;28.519355;19.122581;84.927419;
83923;30/04/2008;0000;93.8;26.87;15.37;83.691667;
83923;31/05/2008;0000;126.7;24.490323;11.067742;84.274194;
83923;30/06/2008;0000;75;20.206667;9.183333;88.033333;
83923;31/07/2008;0000;14.2;23.445161;12.251613;85.983871;
83923;31/08/2008;0000;40.8;22.819355;12.56129;83.741935;
83923;30/09/2008;0000;151.6;22.606667;11.27;81.45;
83923;31/10/2008;0000;267;24.006452;15.977419;82.862903;
83923;30/11/2008;0000;229.4;25.39;17.456667;83;
83923;31/12/2008;0000;112.7;28.4;18.080645;78.830645;
83923;31/01/2009;0000;426.9;27.82;18.787097;83.016129;
83923;28/02/2009;0000;254.9;28.982143;20.475;85.169643;
83923;31/03/2009;0000;265.5;29.280645;19.722581;85.145161;
83923;30/04/2009;0000;84.3;26.736667;16.586667;85.183333;
83923;31/05/2009;0000;61.4;24.680645;13.409677;85.483871;
83923;30/06/2009;0000;37;20.99;9.646667;86.475;
83923;31/07/2009;0000;80.2;19.025806;9.119355;87.524194;
83923;31/08/2009;0000;188.7;24.774194;11.048387;82.41129;
83923;30/09/2009;0000;379.1;22.23;14.086667;85.866667;
83923;31/10/2009;0000;81.9;24.483871;14.758065;82.508065;
83923;30/11/2009;0000;168.6;29.91;20.22;82.641667;
83923;31/12/2009;0000;170;29.322581;19.9;81.137097;
83923;31/01/2010;0000;330.6;30.206452;21.087097;86.395161;
83923;28/02/2010;0000;160;32.553571;21.817857;82.553571;
83923;31/03/2010;0000;223.8;29.351613;19.654839;86.717742;
83923;30/04/2010;0000;156.6;26.13;16.556667;87.525;
83923;31/05/2010;0000;373.9;22.532258;14.551613;91.040323;
83923;30/06/2010;0000;68.9;21.36;10.703333;89.583333;
83923;31/07/2010;0000;108.7;22.664516;10.583871;85.975806;
83923;31/08/2010;0000;73.1;21.851613;10.619355;83.814516;
83923;30/09/2010;0000;96.3;23.246667;13.44;84.216667;
83923;31/10/2010;0000;84.7;24.016129;13.767742;83.274194;
83923;30/11/2010;0000;217.1;27.196667;15.903333;79.775;
83923;31/12/2010;0000;76.1;27.841935;18.777419;82.966667;
83923;31/01/2011;0000;542.4;30.716667;21.346667;87.283333;
83923;28/02/2011;0000;261.9;29.535714;21.460714;88.821429;
83923;31/03/2011;0000;153.5;27.364516;18.209677;85.435484;
83923;30/04/2011;0000;48.4;26.976667;16.11;85.975;
83923;31/05/2011;0000;101;23.267742;12.874194;87.080645;
83923;30/06/2011;0000;106.8;21.186667;9.216667;85.725;
83923;31/07/2011;0000;229.4;20.36129;9.764516;88.758065;
83923;31/08/2011;0000;300;20.63871;11.009677;86.024194;
83923;30/09/2011;0000;131.4;23.27;11.26;81.741667;
83923;31/10/2011;0000;75.8;25.593548;15.419355;79.854839;
83923;30/11/2011;0000;32.7;26.68;15.666667;79.033333;
83923;31/12/2011;0000;216.7;27.832258;17.270968;79.604839;
83923;31/01/2012;0000;271.9;29.087097;19.151613;83.266129;
83923;29/02/2012;0000;194.4;32.437931;21;80.965517;
83923;31/03/2012;0000;78.8;30.490323;17.590323;;
83923;30/04/2012;0000;27;26.59;15.886667;;
83923;31/05/2012;0000;42;25.264516;12.516129;85.967742;
83923;30/06/2012;0000;106.3;22.6;10.276667;87.481481;
83923;31/07/2012;0000;106.1;20.929032;9.66129;86.017857;
83923;31/08/2012;0000;34.9;26.335484;13.63871;;
83923;30/09/2012;0000;170.1;25.11;13.08;80.922414;
83923;31/10/2012;0000;171.9;27.609677;16.980645;82.403226;
83923;30/11/2012;0000;62.1;28.2;16.813333;;
83923;31/12/2012;0000;97.9;31.725806;20.029032;;
83923;31/01/2013;0000;133.6;29.209677;18.46129;79.814516;
83923;28/02/2013;0000;389.7;29.682143;20.157143;85.821429;
83923;31/03/2013;0000;164.8;27.022581;17.632258;85.774194;
83923;30/04/2013;0000;45.9;27.03;14.833333;82.45;
83923;31/05/2013;0000;33.7;23.964516;12.016129;85.282258;
83923;30/06/2013;0000;102.5;21.186667;12.153333;89.55;
83923;31/07/2013;0000;70.3;21.558065;8.851613;85.346774;
83923;31/08/2013;0000;416.7;21.622581;9.290323;84.927419;
83923;30/09/2013;0000;141.5;24.34;12.71;83.85;
83923;31/10/2013;0000;75;25.470968;14.858065;80.725;
83923;30/11/2013;0000;94.1;28.666667;16.583333;77.55;
83923;31/12/2013;0000;187.3;30.087097;19.019355;82.66129;
83923;31/01/2014;0000;292.4;32.935484;20.364516;82.709677;
83923;28/02/2014;0000;229.4;32.614286;21.242857;82.696429;
83923;31/03/2014;0000;200.5;28.464516;19.080645;87.846774;
83923;30/04/2014;0000;226.6;26.436667;17.203333;88.016667;
83923;31/05/2014;0000;96.5;22.977419;13.554839;90.290323;
83923;30/06/2014;0000;298;21.526667;12.036667;90.483333;
83923;31/07/2014;0000;65.3;22.570968;11.396774;87.941667;
83923;31/08/2014;0000;98;24.493548;11.112903;83.645161;
83923;30/09/2014;0000;144.2;24.176667;15.366667;85.666667;
83923;31/10/2014;0000;151.6;27.632258;16.987097;80.33871;
83923;30/11/2014;0000;59.5;28.55;18.243333;77.95;
83923;31/12/2014;0000;199.2;30.632258;20.029032;80.5;
83923;31/01/2015;0000;271.4;31.874194;21.748387;84.516129;
83923;28/02/2015;0000;260.8;30.053571;20.564286;86.276786;
83923;31/03/2015;0000;271.6;28.535484;19.493548;85.758065;
83923;30/04/2015;0000;134.9;26.253333;17.133333;87.075;
83923;31/05/2015;0000;206.8;24.096774;14.648387;88.927419;
83923;30/06/2015;0000;130.5;23.603333;10.876667;;
83923;31/07/2015;0000;172.4;22.109677;12.8;;
83923;31/08/2015;0000;45.4;27.567742;15.141935;;
