--------------------
BDMEP - INMET
--------------------
Esta?o           : VICOSA - MG (OMM: 83642)
Latitude  (graus) : -20.76
Longitude (graus) : -42.86
Altitude  (metros): 712.20
Esta?o Operante
Inicio de opera?o: 01/10/1919
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83642;31/01/2000;0000;295.9;28.196774;19.045161;83.758065;
83642;29/02/2000;0000;148;28.865517;18.572414;82.87931;
83642;31/03/2000;0000;105.5;27.332258;18.3;86.120968;
83642;30/04/2000;0000;37.1;26.68;15.48;83.883333;
83642;31/05/2000;0000;6;25.370968;12.967742;84.241935;
83642;30/06/2000;0000;14.4;24.856667;10.593333;87.533333;
83642;31/07/2000;0000;10.1;22.625806;11.158065;87.456897;
83642;31/08/2000;0000;19.1;25.616129;11.66129;83.725806;
83642;31/10/2000;0000;66.7;29.7;16.970968;75.354839;
83642;30/11/2000;0000;206.9;26.6;18.226667;84.883333;
83642;31/12/2000;0000;228.5;28.796774;19.093548;82.758065;
83642;31/01/2001;0000;171.9;29.490323;18.783871;79.41129;
83642;28/02/2001;0000;48;32.425;19.510714;74.383929;
83642;31/03/2001;0000;148.3;30.125806;18.435484;80.508065;
83642;30/04/2001;0000;33.7;29.696667;16.86;77.975;
83642;31/05/2001;0000;59.5;26.322581;14.603226;79.032258;
83642;30/06/2001;0000;0.2;25.61;13.256667;80.708333;
83642;31/07/2001;0000;2;24.693548;11.63871;77.798387;
83642;31/08/2001;0000;6.4;26.535484;12.412903;74.717742;
83642;30/09/2001;0000;80.1;25.866667;14.28;74.291667;
83642;31/10/2001;0000;153.2;26.729032;16.174194;74.701613;
83642;30/11/2001;0000;232.5;27.703333;18.683333;81.908333;
83642;31/12/2001;0000;224.3;27.064516;18.748387;80.556452;
83642;31/01/2002;0000;270;28.625806;19.006452;81.483871;
83642;28/02/2002;0000;279.8;27.978571;19.553571;82.75;
83642;31/03/2002;0000;98.5;29.793548;18.306452;78.427419;
83642;30/04/2002;0000;1.8;30.836667;17.116667;74.133333;
83642;31/05/2002;0000;38.3;26.316667;15.280645;84.290323;
83642;30/06/2002;0000;2;26.22;12.203333;81.958333;
83642;31/07/2002;0000;1.4;24.803226;12.406667;80.975806;
83642;31/08/2002;0000;1.1;27.393333;12.970968;71.925;
83642;30/09/2002;0000;73.3;25.036667;14.77931;74.833333;
83642;31/10/2002;0000;30;29.858065;16.248387;68.225806;
83642;30/11/2002;0000;198.9;27.75;18.4;78.991667;
83642;31/12/2002;0000;278.6;28.646667;19.706452;82;
83642;31/01/2003;0000;440.3;28.364516;20.112903;83.983871;
83642;28/02/2003;0000;27.9;31.110714;19.032143;73.883929;
83642;31/03/2003;0000;78.4;29.319355;18.983871;79.032258;
83642;30/04/2003;0000;16.6;28.446667;16.436667;80.591667;
83642;31/05/2003;0000;21.2;25.987097;12.632258;79.653226;
83642;30/06/2003;0000;0;26.953333;11.213333;80.033333;
83642;31/07/2003;0000;13.1;25.409677;10.009677;79.233871;
83642;31/08/2003;0000;51.9;24.177419;12.212903;79.16129;
83642;30/09/2003;0000;47.8;26.433333;14.346667;74.466667;
83642;31/10/2003;0000;27.7;27.996774;15.716129;69.532258;
83642;30/11/2003;0000;163.8;27.81;17.756667;78.041667;
83642;31/12/2003;0000;252.1;29.132258;19.403226;80.612903;
83642;31/01/2004;0000;405.9;27.312903;18.7;80.806452;
83642;29/02/2004;0000;416.8;27.686207;18.686207;82.37069;
83642;31/03/2004;0000;174.4;27.864516;17.545161;81.169355;
83642;30/04/2004;0000;136.7;26.4;17.363333;84.558333;
83642;31/05/2004;0000;43.5;23.945161;14.548387;86.395161;
83642;30/06/2004;0000;40.1;22.803333;11.72;86.2;
83642;31/07/2004;0000;35.7;22.241935;11.754839;84.653226;
83642;31/08/2004;0000;0.2;25.193548;11.264516;79.298387;
83642;30/09/2004;0000;0;28.21;13.746667;70.675;
83642;31/10/2004;0000;66.2;26.909677;16.712903;76.306452;
83642;30/11/2004;0000;195.9;27.2;17.64;77.175;
83642;31/12/2004;0000;282.6;27.341935;18.964516;85.314516;
83642;31/01/2005;0000;203.2;28.096774;19.487097;84.016129;
83642;28/02/2005;0000;200.2;28.664286;18.514286;81.830357;
83642;31/03/2005;0000;267.5;28.222581;19.177419;83.564516;
83642;30/04/2005;0000;57.6;27.543333;17.8;81.916667;
83642;31/05/2005;0000;45;25.241935;14.719355;84.193548;
83642;30/06/2005;0000;32.7;23.87;13.153333;87.141667;
83642;31/07/2005;0000;20.3;23.093548;11.596667;85.298387;
83642;31/08/2005;0000;37.4;25.929032;12.935484;81.491935;
83642;30/09/2005;0000;67.7;25.416667;15.916667;79.841667;
83642;31/10/2005;0000;76.2;28.964516;16.606452;73.879032;
83642;30/11/2005;0000;137;25.22;17.923333;83.55;
83642;31/12/2005;0000;291.2;26.722581;17.493548;81.508065;
83642;31/01/2006;0000;180;29.63871;18.43871;76.274194;
83642;28/02/2006;0000;84.8;30.332143;19.296429;87.196429;
83642;31/03/2006;0000;186.5;28.683871;19.229032;92.185484;
83642;30/04/2006;0000;56;26.726667;16.97;90.208333;
83642;31/05/2006;0000;6.4;24.670968;12.677419;91.225806;
83642;30/06/2006;0000;11.6;23.753333;11.193333;89.35;
83642;31/07/2006;0000;6.3;24.906452;9.564516;86.016129;
83642;31/08/2006;0000;13.3;25.693548;12.809677;77.91129;
83642;30/09/2006;0000;72.9;25.18;14.033333;75.958333;
83642;31/10/2006;0000;199.9;25.954839;17.316129;80.314516;
83642;30/11/2006;0000;185.2;26.316667;18.103333;82.566667;
83642;31/12/2006;0000;200;27.380645;19.56129;82.403226;
83642;31/01/2007;0000;460.7;27.074194;19.864516;86.653226;
83642;28/02/2007;0000;90.5;28.635714;18.703571;81.633929;
83642;31/03/2007;0000;45.5;30;17.970968;77.443548;
83642;30/04/2007;0000;38.3;27.723333;17.186667;81.4;
83642;31/05/2007;0000;14.7;25.129032;12.783871;81.209677;
83642;30/06/2007;0000;2.2;25.216667;10.706667;82.05;
83642;31/07/2007;0000;6.1;24.648387;11.293548;79.725806;
83642;31/08/2007;0000;0;26.851613;11.148387;77.314516;
83642;30/09/2007;0000;29.7;27.686667;13.713333;67.625;
83642;31/10/2007;0000;55.5;29.454839;16.635484;69.137097;
83642;30/11/2007;0000;62.2;27.943333;18.096667;77;
83642;31/12/2007;0000;204.1;29.587097;18.493548;77.346774;
83642;31/01/2008;0000;220.1;27.219355;18.054839;82.185484;
