--------------------
BDMEP - INMET
--------------------
Esta?o           : VITORIA DA CONQUISTA - BA (OMM: 83344)
Latitude  (graus) : -14.88
Longitude (graus) : -40.79
Altitude  (metros): 874.81
Esta?o Operante
Inicio de opera?o: 01/01/1936
Periodo solicitado dos dados: 01/01/2000 a 01/01/2016
Os dados listados abaixo s? os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e v?gula) no formato txt.
"      Para o formato planilha XLS, siga as instru?es"
--------------------
Estacao;Data;Hora;PrecipitacaoTotal;TempMaximaMedia;TempMinimaMedia;UmidadeRelativaMedia;
83344;31/01/2000;0000;215;27.412903;18.748387;77.483871;
83344;29/02/2000;0000;73.2;27.772414;18.196552;79.318966;
83344;31/03/2000;0000;124.8;26.129032;18.170968;84.790323;
83344;30/04/2000;0000;21.8;25.546667;17.196667;84.416667;
83344;31/05/2000;0000;9.7;25.051613;15.987097;81.370968;
83344;30/06/2000;0000;10.2;23.506667;14.893333;83.516667;
83344;31/07/2000;0000;43.2;22.954839;13.97;83.5;
83344;31/08/2000;0000;2.2;23.941935;14.035484;78.370968;
83344;30/09/2000;0000;23.8;24.573333;15.326667;79.425;
83344;31/10/2000;0000;1.9;28.145161;16.13871;67.854839;
83344;30/11/2000;0000;148.4;27.163333;18.163333;76.141667;
83344;31/12/2000;0000;332.2;25.709677;18.203226;83.580645;
83344;31/01/2001;0000;40.1;26.593548;18.709677;75.854839;
83344;28/02/2001;0000;4.8;29.882143;18.482143;66.080357;
83344;31/03/2001;0000;121.2;27.677419;18.43871;76.75;
83344;30/04/2001;0000;10.5;26.74;17.81;76.6;
83344;31/05/2001;0000;13.9;27.47037;18.1;74.842593;
83344;30/06/2001;0000;27.1;23.46;15.22;83.55;
83344;31/07/2001;0000;25.1;23.809677;14.746667;80.951613;
83344;31/08/2001;0000;32.7;22.603226;14.006452;83.08871;
83344;30/09/2001;0000;31.8;25.77;15.04;81.316667;
83344;31/10/2001;0000;91.7;26.8;16.287097;77.669355;
83344;30/11/2001;0000;7.2;28.87;17.403333;73.816667;
83344;31/12/2001;0000;135.6;27.603226;17.241935;78.741935;
83344;31/01/2002;0000;315;26.7;17.577419;83.774194;
83344;28/02/2002;0000;130.5;27.617857;16.789286;79.660714;
83344;31/03/2002;0000;45.3;26.858065;16.712903;83.096774;
83344;30/04/2002;0000;37.6;26.42;16.666667;83.4;
83344;31/05/2002;0000;15.4;25.16129;14.496774;86.395161;
83344;30/06/2002;0000;34.7;23.32;14.039286;87.725;
83344;31/07/2002;0000;19.6;23.658065;13.829032;83.346774;
83344;31/08/2002;0000;21.4;24.387097;11.958065;80.701613;
83344;30/09/2002;0000;68.3;26.02;14.113333;78.566667;
83344;31/10/2002;0000;1.3;28.074194;14.803333;71.056452;
83344;30/11/2002;0000;70.1;27.716667;15.824138;76.208333;
83344;31/12/2002;0000;128.5;29.841935;16.93871;72.032258;
83344;31/01/2003;0000;57.1;29.183333;17.566667;79.306452;
83344;28/02/2003;0000;20.4;28.4;16.285714;76.285714;
83344;31/03/2003;0000;40.8;29.441935;17.416129;75.846774;
83344;30/04/2003;0000;64.2;27.12;17.066667;80.15;
83344;31/05/2003;0000;52.9;24.770968;16.126667;85.814516;
83344;30/06/2003;0000;16.2;23.653333;12.866667;81.316667;
83344;31/07/2003;0000;34.3;22.858065;12.545161;81.983871;
83344;31/08/2003;0000;16.8;23.567742;13.867742;82.951613;
83344;30/09/2003;0000;16.1;26.016667;14.633333;75.1;
83344;31/10/2003;0000;13.4;27.619355;15.593548;68.951613;
83344;30/11/2003;0000;56;28.003333;16.65;73.783333;
83344;31/12/2003;0000;24.1;30.851613;17.812903;65.153226;
83344;31/01/2004;0000;167.6;27.812903;18.254839;79.629032;
83344;29/02/2004;0000;234.6;27.1;17.82069;83.413793;
83344;31/03/2004;0000;394.9;25.848387;18.051613;88.516129;
